,year,county,population,median_income,perc_unemployed,perc_poverty,perc_white,normalized_deaths,deaths,cumulative_deaths,normalized_cumulative_deaths
417,5,66,28587,41092,10.433333333333334,24.300000000000008,96.82023297302969,2.040554564429053e-05,7,39,0.001369995220360842
418,5,67,163387,52576,7.083333333333335,16.900000000000002,91.94060726985622,1.1220802960659866e-05,22,87,0.000543006396744236
419,5,68,42050,47251,7.341666666666668,13.099999999999996,97.58620689655173,1.5854141894569958e-05,8,40,0.0009489370439755555
420,5,69,34339,60562,6.166666666666667,7.200000000000002,95.89388159235854,4.8535678577322195e-06,2,12,0.0003476712892230619
421,5,70,123387,40210,8.466666666666669,17.599999999999998,87.22555860828128,1.6209163039866435e-05,24,86,0.0006887188169728532
422,5,71,77802,42730,8.241666666666667,19.400000000000002,90.4719673016118,1.820861503131882e-05,17,113,0.0014642553507552775
423,5,72,60619,46800,7.916666666666667,12.900000000000004,91.7451624078259,6.873532500811076e-06,5,39,0.0006394317055870336
424,5,73,78952,36682,9.508333333333335,24.5,94.31173371162227,2.8498328098084912e-05,27,134,0.0017068390790278129
425,5,74,56376,47121,7.8500000000000005,13.900000000000004,94.31495671917128,1.4781703798306609e-05,10,40,0.0007060084978759148
426,5,75,49317,51529,7.658333333333334,10.0,94.97739116329056,1.689748632993356e-05,10,39,0.0007929289507578335
427,5,76,375348,45199,7.633333333333334,15.400000000000004,88.83409529290152,2.1757586737285577e-05,98,464,0.0012324780716084498
428,5,77,541592,49353,7.1833333333333345,14.800000000000002,80.54716465531249,1.3848062748341925e-05,90,423,0.0007797770790678423
429,5,78,208792,41951,9.233333333333334,18.699999999999996,89.11739913406645,1.875870084422136e-05,47,253,0.0011973241927777673
430,5,79,92528,44121,7.408333333333332,14.300000000000002,97.12087151997231,1.2608795896017064e-05,14,60,0.0006493078069318413
431,5,80,52683,68650,5.633333333333333,7.799999999999998,92.93700055046223,6.327151706116458e-06,4,30,0.0005939065262952546
432,5,81,28685,47169,7.308333333333334,13.300000000000002,96.75091511242807,1.4525594096798558e-05,5,17,0.0005896323042025023
433,5,82,13365,37842,9.391666666666667,22.199999999999992,97.2914328469884,6.235191420376606e-06,1,15,0.0011214965688624724
434,5,83,215274,75041,5.983333333333334,7.299999999999998,90.58362830625155,1.2387314151577368e-05,32,172,0.0008202929051485168
435,5,84,61600,41236,7.7749999999999995,16.300000000000004,96.42207792207795,1.2175324675324675e-05,9,42,0.0006801732213853162
